Sand,Clay,Silt,pH,EC,N,,K,SoilType
40.0,22.0,38.0,8.02,0.316,3.48,6.5036,175.2,Loam
38.0,26.0,36.0,7.95,0.302,3.87,19.3047,136.79999999999998,Loam
34.0,32.0,34.0,7.14,0.473,4.01,20.724500000000003,202.79999999999998,Clay loam
42.0,26.0,32.0,7.83,0.313,2.73,14.1751,134.4,Loam
46.0,24.0,30.0,7.52,0.416,0.18,10.076,152.4,Loam
36.0,26.0,38.0,8.09,0.31,3.83,11.0836,151.2,Loam
42.0,22.0,36.0,8.02,0.33,6.16,20.8619,117.6,Loam
44.0,24.0,32.0,7.97,0.311,0.66,21.5718,112.8,Loam
42.0,26.0,32.0,7.63,0.31,0.31,23.174799999999998,181.2,Loam
34.0,28.0,38.0,8.14,0.581,12.81,9.1829,123.6,Clay loam
44.0,24.0,32.0,7.44,0.452,4.89,15.3659,242.39999999999998,Loam
34.0,36.0,30.0,6.7,0.499,1.36,22.6023,226.79999999999998,Clay loam
34.0,32.0,34.0,7.23,0.535,2.69,22.190099999999997,272.4,Clay loam
30.0,26.0,44.0,7.87,0.536,6.34,17.5185,399.59999999999997,Loam
16.0,40.0,44.0,7.89,0.418,5.5,21.297,837.6,Silty clay
44.0,20.0,36.0,8.07,0.388,7.79,46.76180000000001,558.0,Loam
14.0,42.0,44.0,7.93,0.386,6.34,12.137,400.8,Silty clay
40.0,20.0,40.0,8.12,0.405,2.47,10.2134,140.4,Loam
18.0,40.0,42.0,7.84,0.583,0.18,9.801200000000001,480.0,Silty clay
38.0,28.0,34.0,7.88,0.966,8.76,24.6404,193.2,Clay loam
10.0,58.0,32.0,7.89,0.407,6.78,14.4041,488.4,Clay
34.0,30.0,36.0,5.58,0.434,1.5,20.61,156.0,Clay loam
42.0,28.0,30.0,7.82,0.375,5.72,8.1982,187.2,Clay loam
22.0,44.0,34.0,7.05,0.396,15.41,22.3733,362.4,Clay
20.0,38.0,42.0,7.15,0.516,10.22,33.685900000000004,555.6,Clay loam
28.0,38.0,34.0,6.36,0.717,5.15,69.13510000000001,356.4,Clay loam
28.0,36.0,36.0,7.5,0.474,9.51,64.14290000000001,873.6,Clay loam
34.0,24.0,42.0,7.38,0.542,4.32,41.9528,540.0,Loam
16.0,44.0,40.0,7.52,0.463,11.4,37.441500000000005,382.8,Silty clay
30.0,30.0,40.0,7.6,0.404,12.02,35.5866,358.8,Clay loam
10.0,38.0,52.0,7.89,0.413,17.22,27.8693,825.6,Clay loam
24.0,38.0,38.0,7.85,0.55,20.47,24.8694,1309.2,Clay loam
14.0,44.0,42.0,7.43,0.552,6.47,78.79889999999999,463.2,Silty clay
16.0,48.0,36.0,7.57,0.489,6.52,23.151899999999998,597.6,Clay
36.0,32.0,32.0,7.58,0.422,8.1,46.0061,321.59999999999997,Clay loam
20.0,44.0,36.0,7.51,1.098,57.77,14.0377,390.0,Clay
18.0,44.0,38.0,7.67,0.433,13.21,29.4265,937.1999999999999,Clay
24.0,24.0,52.0,7.69,0.613,11.18,32.9531,577.1999999999999,Silt loam
40.0,22.0,38.0,7.01,0.366,4.62,30.1593,277.2,Loam
28.0,32.0,40.0,7.37,0.45,16.29,77.6539,451.2,Clay loam
32.0,30.0,38.0,7.38,0.415,11.36,95.56169999999999,343.2,Clay loam
54.0,10.0,36.0,7.0,0.747,13.39,12.9843,109.2,Loam
26.0,42.0,32.0,7.17,0.451,2.42,34.5561,282.0,Clay
22.0,48.0,30.0,5.56,0.281,2.38,31.7623,320.4,Clay
26.0,42.0,32.0,5.29,0.259,4.32,40.166599999999995,199.2,Clay
32.0,36.0,32.0,5.87,0.356,2.25,9.9844,192.0,Clay loam
22.0,52.0,26.0,6.25,0.287,7.0,45.3878,346.8,Clay
22.0,52.0,26.0,6.45,0.643,6.78,38.4491,264.0,Clay
26.0,48.0,26.0,6.54,0.544,6.21,30.686,222.0,Clay
22.0,40.0,38.0,7.5,0.432,8.15,21.3199,451.2,Clay
24.0,44.0,32.0,7.38,0.482,9.11,24.1824,490.79999999999995,Clay
