Sand,Clay,Silt,pH,EC,N,,K,SoilType
28.0,13.0,59.0,4.27,87.3,9.0,37.6,216.5,Silt loam
40.0,23.0,37.0,6.56,24.4,2.1,15.3,77.4,Loam
26.0,25.0,49.0,5.61,34.2,2.5,51.5,245.1,Loam
48.0,9.0,43.0,4.18,78.1,10.7,97.9,467.6,Loam
25.0,18.0,57.0,5.25,12.85,5.7,18.1,151.7,Silt loam
38.0,12.0,50.0,4.14,98.3,6.2,60.9,229.5,Silt loam
73.0,6.0,22.0,3.92,24.8,13.1,52.2,156.0,Loamy sand
37.0,14.0,49.0,5.07,9.52,4.3,14.0,130.0,Loam
46.0,11.0,43.0,4.52,111.7,4.9,88.6,253.1,Loam
29.0,15.0,56.0,3.8,116.2,11.0,45.4,409.9,Silt loam
13.0,30.0,57.0,6.73,20.3,5.3,61.4,366.6,Clay loam
42.0,13.0,46.0,4.0,27.7,6.1,20.1,153.6,Loam
23.0,39.0,38.0,7.47,28.3,3.2,25.7,519.0,Clay loam
48.0,23.0,28.0,7.38,30.4,1.9,22.7,189.2,Loam
81.0,3.0,16.0,4.35,103.2,22.8,161.5,391.6,Loamy sand
21.0,22.0,57.0,6.64,40.8,3.8,10.2,63.2,Silt loam
17.0,26.0,57.0,4.83,32.4,4.1,18.9,73.6,Silt loam
34.0,14.0,52.0,5.44,56.6,3.7,77.0,300.2,Silt loam
45.0,14.0,41.0,5.07,18.62,1.8,31.6,51.5,Loam
52.0,11.0,37.0,4.3,19.63,4.6,82.5,78.7,Loam
39.0,10.0,50.0,4.1,18.88,5.5,27.1,75.4,Silt loam
26.0,22.0,52.0,4.72,77.0,4.2,26.8,252.0,Silt loam
58.0,6.0,36.0,3.95,34.5,5.9,41.6,228.0,Loam
35.0,13.0,52.0,4.87,40.0,4.5,38.7,143.8,Silt loam
35.0,19.0,46.0,5.27,35.8,2.4,21.1,96.0,Loam
38.0,5.0,57.0,4.64,64.1,4.4,13.1,147.8,Silt loam
33.0,8.0,58.0,4.09,46.8,5.8,27.0,150.3,Silt loam
31.0,21.0,47.0,5.4,32.1,2.7,70.2,294.6,Loam
38.0,11.0,50.0,4.69,81.7,11.4,22.8,190.6,Silt loam
49.0,9.0,42.0,4.82,7.76,1.5,12.1,35.6,Loam
60.0,5.0,35.0,4.13,57.6,14.7,89.6,185.1,Loam
28.0,14.0,57.0,5.74,18.77,7.3,43.1,130.1,Silt loam
71.0,4.0,26.0,4.85,11.84,1.3,8.1,15.7,Loamy sand
23.0,15.0,62.0,4.73,128.1,7.5,66.9,180.3,Silt loam
24.0,24.0,52.0,4.55,96.5,4.5,57.8,259.4,Silt loam
41.0,11.0,48.0,3.84,72.4,7.4,79.5,270.4,Loam
31.0,18.0,51.0,6.47,113.1,5.9,51.7,199.6,Silt loam
20.0,22.0,59.0,4.33,114.7,6.7,66.7,99.4,Silt loam
20.0,24.0,56.0,5.24,18.41,5.0,13.1,149.8,Silt loam
21.0,17.0,61.0,5.77,121.2,7.4,132.9,729.4,Silt loam
31.0,14.0,54.0,3.74,61.1,6.0,29.4,112.7,Silt loam
29.0,15.0,56.0,4.21,172.5,9.4,59.7,417.5,Silt loam
59.0,7.0,34.0,5.11,36.2,3.8,23.9,42.3,Loam
22.0,15.0,62.0,4.93,29.9,10.2,88.6,417.3,Silt loam
44.0,12.0,44.0,5.45,57.7,3.9,18.8,148.7,Loam
33.0,18.0,49.0,4.07,65.0,3.8,26.9,209.6,Loam
35.0,14.0,51.0,4.87,114.4,9.5,42.2,232.3,Silt loam
22.0,24.0,54.0,5.18,92.6,6.0,42.5,123.0,Silt loam
39.0,10.0,51.0,4.77,47.4,3.6,21.6,47.5,Silt loam
37.0,9.0,54.0,4.65,51.5,3.7,29.9,80.4,Silt loam
40.0,10.0,51.0,4.64,101.2,5.7,85.8,205.5,Silt loam
23.0,23.0,55.0,5.32,63.1,4.3,15.1,104.3,Silt loam
37.0,12.0,51.0,4.14,142.7,6.3,38.3,179.9,Silt loam
29.0,23.0,48.0,6.2,27.0,4.2,15.9,34.4,Loam
41.0,12.0,47.0,5.0,56.4,4.7,73.1,114.8,Loam
39.0,10.0,50.0,4.02,35.0,4.5,44.9,163.9,Silt loam
33.0,18.0,48.0,4.8,6.73,1.7,8.9,76.0,Loam
14.0,25.0,61.0,6.17,9.15,1.6,65.1,368.2,Silt loam
29.0,25.0,46.0,6.03,8.07,1.9,27.5,115.3,Loam
52.0,10.0,38.0,4.31,7.26,3.2,12.7,67.9,Loam
34.0,15.0,51.0,5.63,7.6,2.4,7.2,63.4,Silt loam
11.0,33.0,56.0,7.42,15.87,2.2,25.2,310.3,Clay loam
13.0,28.0,59.0,6.62,14.93,2.4,23.0,261.7,Clay loam
25.0,17.0,58.0,5.55,13.32,3.7,15.6,186.3,Silt loam
57.0,6.0,37.0,7.51,24.3,3.1,7.2,40.4,Loam
12.0,33.0,55.0,5.98,10.43,1.3,26.0,133.1,Clay loam
14.0,37.0,49.0,6.97,11.14,2.0,48.3,165.3,Clay loam
23.0,25.0,52.0,5.6,14.42,3.4,17.9,730.7,Silt loam
32.0,20.0,48.0,5.04,6.93,2.3,8.6,44.5,Loam
12.0,33.0,55.0,4.63,9.05,3.1,7.3,121.6,Clay loam
17.0,29.0,55.0,7.3,14.51,1.8,9.2,152.8,Clay loam
29.0,24.0,47.0,6.15,8.15,1.3,20.1,111.5,Loam
44.0,13.0,43.0,4.88,9.46,2.4,11.1,38.0,Loam
12.0,31.0,57.0,5.11,8.39,2.4,7.8,89.4,Clay loam
43.0,13.0,44.0,5.14,8.96,1.4,5.5,101.0,Loam
55.0,11.0,34.0,5.33,26.1,6.2,22.8,404.8,Loam
53.0,11.0,37.0,5.44,9.81,2.7,14.5,134.0,Loam
49.0,15.0,36.0,7.26,15.54,1.7,8.9,66.9,Loam
24.0,21.0,55.0,5.0,19.66,3.4,8.4,55.4,Silt loam
55.0,8.0,37.0,3.66,17.96,6.7,31.4,98.0,Loam
15.0,22.0,63.0,5.6,11.73,5.0,8.3,180.3,Silt loam
14.0,21.0,65.0,6.3,20.7,9.7,12.0,199.0,Silt loam
46.0,7.0,46.0,3.92,28.8,12.5,23.3,127.6,Loam
41.0,15.0,44.0,4.12,10.52,4.2,24.9,63.8,Loam
39.0,11.0,50.0,3.78,13.74,5.0,22.3,99.8,Silt loam
50.0,9.0,41.0,5.08,17.49,4.2,24.5,147.2,Loam
34.0,16.0,49.0,4.74,9.54,2.4,4.4,88.5,Loam
51.0,8.0,41.0,5.57,17.54,2.9,18.8,76.5,Loam
36.0,14.0,50.0,3.56,15.3,5.1,18.2,77.7,Silt loam
32.0,14.0,54.0,4.08,11.66,4.5,10.7,87.5,Silt loam
28.0,12.0,59.0,7.15,35.4,6.5,11.3,66.3,Silt loam
17.0,22.0,60.0,5.25,16.79,7.7,7.9,146.1,Silt loam
22.0,15.0,63.0,6.89,41.8,11.4,17.9,98.0,Silt loam
66.0,10.0,23.0,6.55,13.05,2.6,5.5,43.1,Loam
17.0,21.0,61.0,5.15,14.61,4.5,10.0,60.2,Silt loam
15.0,24.0,61.0,6.58,18.0,3.8,4.5,50.8,Silt loam
20.0,21.0,59.0,3.76,14.34,7.0,22.5,61.9,Silt loam
69.0,6.0,25.0,3.9,27.3,6.6,31.2,263.3,Loam
41.0,10.0,49.0,6.81,68.9,17.9,22.1,183.4,Loam
12.0,26.0,62.0,4.44,7.37,3.0,3.6,74.7,Silt loam
21.0,22.0,58.0,6.88,22.4,5.7,7.2,92.1,Silt loam
20.0,20.0,60.0,7.04,36.7,8.8,11.3,126.3,Silt loam
23.0,15.0,62.0,6.92,41.1,13.1,22.0,161.4,Silt loam
76.0,4.0,20.0,4.8,36.6,22.4,63.9,327.7,Loamy sand
20.0,16.0,64.0,3.88,14.94,6.3,16.9,88.0,Silt loam
21.0,24.0,55.0,5.54,12.76,4.5,8.5,92.3,Silt loam
14.0,30.0,55.0,5.47,7.78,2.4,0.0,121.6,Clay loam
11.0,28.0,62.0,7.24,23.2,6.0,17.9,158.8,Clay loam
62.0,5.0,33.0,4.49,60.6,23.0,45.4,368.9,Loam
38.0,18.0,44.0,7.92,18.16,1.7,0.0,31.0,Loam
19.0,23.0,58.0,6.86,37.6,4.2,10.0,70.6,Silt loam
48.0,9.0,42.0,4.56,59.6,15.6,38.8,240.0,Loam
18.0,18.0,64.0,6.26,39.8,6.6,15.1,133.9,Silt loam
33.0,15.0,51.0,4.63,20.2,4.7,20.2,74.5,Silt loam
17.0,16.0,67.0,5.2,19.17,9.1,19.5,131.6,Silt loam
61.0,5.0,34.0,6.53,78.0,19.1,48.4,364.9,Loam
17.0,23.0,60.0,6.85,37.1,8.5,11.2,154.1,Silt loam
18.0,18.0,64.0,6.22,34.2,8.5,10.3,162.1,Silt loam
8.0,40.0,53.0,5.14,9.2,3.8,4.8,206.6,Clay loam
68.0,6.0,26.0,4.41,3.32,0.6,16.9,21.7,Loam
92.0,1.0,7.0,4.38,47.4,12.6,36.3,497.9,Sand
64.0,5.0,32.0,4.53,51.0,25.3,49.1,328.3,Loam
71.0,6.0,23.0,4.05,4.22,0.8,9.0,21.0,Loamy sand
39.0,10.0,51.0,5.0,10.31,2.4,26.0,84.2,Silt loam
45.0,13.0,42.0,4.33,3.59,1.1,26.8,15.0,Loam
72.0,9.0,19.0,4.75,4.16,0.2,10.4,25.2,Loamy sand
79.0,4.0,18.0,4.4,4.2,0.5,7.0,16.9,Loamy sand
69.0,6.0,26.0,4.33,7.4,1.1,39.9,20.3,Loam
64.0,6.0,30.0,4.47,3.19,0.5,19.4,6.2,Loam
71.0,6.0,23.0,4.5,2.96,0.5,20.0,17.1,Loamy sand
73.0,5.0,23.0,4.69,3.85,0.7,31.3,13.1,Loamy sand
93.0,1.0,6.0,3.84,55.6,13.6,80.8,503.7,Sand
81.0,4.0,15.0,4.84,3.84,0.4,43.3,8.0,Loamy sand
36.0,9.0,55.0,5.2,1.73,0.3,11.2,8.0,Silt loam
66.0,6.0,29.0,4.16,5.67,1.2,46.2,23.5,Loam
45.0,15.0,40.0,4.48,5.87,0.9,22.9,26.4,Loam
43.0,10.0,47.0,5.34,5.79,1.6,9.3,19.4,Loam
56.0,7.0,38.0,4.12,5.99,0.9,10.4,27.5,Loam
70.0,5.0,25.0,4.8,3.92,0.7,12.4,11.7,Loamy sand
59.0,7.0,34.0,5.68,6.04,1.3,0.0,50.2,Loam
35.0,10.0,55.0,4.32,14.51,1.9,16.2,34.2,Silt loam
45.0,7.0,48.0,4.62,5.66,0.8,17.2,14.4,Loam
42.0,8.0,50.0,4.97,24.1,3.5,8.5,16.4,Silt loam
46.0,7.0,47.0,5.59,20.4,1.4,5.4,10.0,Loam
48.0,10.0,42.0,4.7,2.97,0.6,35.6,13.8,Loam
58.0,6.0,35.0,4.62,8.27,0.8,0.0,21.6,Loam
61.0,5.0,34.0,5.31,11.92,1.2,4.5,10.7,Loam
39.0,6.0,54.0,6.15,15.57,6.9,8.3,67.4,Silt loam
44.0,9.0,47.0,4.6,3.76,1.1,7.9,17.0,Loam
57.0,6.0,36.0,4.79,37.6,3.8,10.0,55.1,Loam
41.0,11.0,48.0,4.45,4.07,1.1,0.0,18.0,Loam
57.0,6.0,37.0,4.55,9.14,3.9,15.4,65.4,Loam
62.0,7.0,31.0,4.15,4.44,0.8,22.0,20.4,Loam
30.0,23.0,47.0,4.65,4.01,0.8,11.3,28.4,Loam
38.0,11.0,52.0,4.6,4.79,0.7,9.1,14.9,Silt loam
57.0,6.0,37.0,4.4,16.07,2.2,25.7,58.7,Loam
52.0,9.0,39.0,5.41,7.43,0.8,0.0,14.4,Loam
35.0,11.0,54.0,5.28,6.75,2.4,5.4,18.7,Silt loam
51.0,7.0,42.0,4.32,12.01,1.2,12.1,21.7,Loam
54.0,7.0,39.0,4.21,4.01,0.7,27.8,19.9,Loam
8.0,40.0,52.0,4.36,13.75,2.4,12.2,74.6,Silty clay
37.0,8.0,55.0,4.45,4.57,2.7,6.3,23.9,Silt loam
34.0,15.0,51.0,4.36,11.39,1.2,4.5,26.0,Silt loam
55.0,6.0,39.0,4.34,9.26,3.1,19.6,63.2,Loam
76.0,4.0,20.0,4.17,2.57,0.4,0.0,18.5,Loamy sand
19.0,28.0,53.0,4.34,9.86,1.4,15.9,50.1,Clay loam
52.0,9.0,39.0,4.3,15.45,2.5,12.6,34.2,Loam
77.0,3.0,20.0,4.01,2.28,0.5,0.0,12.2,Loamy sand
46.0,7.0,48.0,3.98,6.66,1.4,5.6,56.1,Loam
53.0,6.0,40.0,4.16,6.47,2.3,7.6,44.1,Loam
56.0,5.0,39.0,4.07,18.57,2.0,19.0,40.6,Loam
50.0,8.0,42.0,4.11,5.86,0.9,0.0,31.1,Loam
39.0,7.0,54.0,5.68,4.18,0.8,4.8,14.6,Silt loam
63.0,4.0,33.0,4.38,6.22,1.6,15.8,20.9,Loam
22.0,12.0,66.0,4.7,6.65,0.8,16.4,23.0,Silt loam
12.0,32.0,56.0,5.69,10.16,2.8,0.0,61.0,Clay loam
26.0,14.0,60.0,5.4,69.1,6.3,6.7,731.7,Silt loam
41.0,11.0,48.0,5.29,25.4,3.1,4.8,38.9,Loam
48.0,7.0,44.0,3.92,13.62,1.9,11.3,34.8,Loam
27.0,19.0,53.0,4.71,11.57,1.4,0.0,24.9,Silt loam
9.0,39.0,52.0,5.3,5.38,2.5,0.0,136.0,Clay loam
22.0,23.0,55.0,6.46,88.6,5.3,17.6,249.8,Silt loam
27.0,20.0,53.0,5.69,19.57,2.4,0.0,66.5,Silt loam
20.0,14.0,66.0,5.26,12.23,4.9,0.0,27.2,Silt loam
14.0,26.0,60.0,4.57,41.2,3.7,6.6,415.4,Silt loam
34.0,17.0,48.0,5.22,25.3,3.1,7.0,363.4,Loam
33.0,13.0,53.0,4.63,19.28,1.9,0.0,26.2,Silt loam
8.0,39.0,53.0,5.82,14.43,1.5,5.2,140.5,Clay loam
20.0,28.0,52.0,5.83,16.37,2.4,12.1,333.6,Clay loam
17.0,28.0,55.0,4.55,23.7,2.5,7.6,83.2,Clay loam
40.0,10.0,50.0,3.54,38.4,7.3,38.3,67.0,Silt loam
11.0,30.0,59.0,5.72,25.2,5.8,10.1,457.7,Clay loam
15.0,22.0,63.0,4.95,22.8,3.4,6.8,104.1,Silt loam
51.0,7.0,42.0,5.7,39.1,8.2,22.9,95.8,Loam
55.0,8.0,38.0,4.71,28.7,2.0,13.8,76.8,Loam
36.0,14.0,50.0,4.52,36.8,3.0,8.2,63.2,Silt loam
26.0,18.0,56.0,4.52,11.75,2.4,4.5,69.4,Silt loam
34.0,15.0,51.0,4.23,13.74,3.7,16.3,111.3,Silt loam
24.0,25.0,51.0,5.98,18.1,1.4,0.0,68.1,Silt loam
43.0,16.0,41.0,4.5,8.0,1.5,4.1,34.0,Loam
29.0,21.0,50.0,4.18,11.78,1.2,0.0,43.6,Silt loam
18.0,23.0,59.0,5.78,37.6,3.2,7.3,1834.3,Silt loam
26.0,13.0,61.0,3.97,64.4,10.2,21.7,141.4,Silt loam
28.0,16.0,55.0,3.94,15.59,1.5,6.2,67.5,Silt loam
28.0,15.0,57.0,5.71,15.72,3.8,6.0,49.6,Silt loam
24.0,13.0,63.0,4.42,27.5,3.0,5.6,106.0,Silt loam
36.0,16.0,48.0,4.17,19.36,2.1,5.6,32.1,Loam
32.0,16.0,52.0,4.18,68.8,5.9,29.8,166.1,Silt loam
26.0,22.0,52.0,4.21,15.92,3.4,8.9,107.8,Silt loam
15.0,38.0,47.0,5.98,31.6,3.6,16.7,212.5,Clay loam
33.0,21.0,46.0,5.97,15.69,1.9,18.7,86.0,Loam
34.0,11.0,55.0,4.08,44.6,4.5,29.2,113.5,Silt loam
28.0,13.0,58.0,5.11,83.4,6.7,21.8,183.1,Silt loam
30.0,21.0,49.0,4.04,8.63,2.3,8.8,44.5,Loam
19.0,20.0,60.0,5.73,39.7,2.0,15.9,137.2,Silt loam
42.0,8.0,49.0,4.5,61.4,5.1,23.3,83.7,Loam
31.0,13.0,56.0,3.82,20.6,5.1,22.8,102.6,Silt loam
13.0,21.0,65.0,4.23,47.3,6.8,22.8,337.0,Silt loam
17.0,22.0,61.0,4.4,19.91,4.2,0.0,50.4,Silt loam
17.0,33.0,51.0,3.93,11.51,3.6,5.7,77.6,Clay loam
45.0,9.0,46.0,4.08,29.9,4.3,20.6,58.7,Loam
29.0,18.0,54.0,4.42,8.75,1.1,0.0,39.7,Silt loam
46.0,11.0,43.0,3.85,21.0,3.0,10.2,37.1,Loam
28.0,33.0,39.0,5.14,28.1,1.9,48.0,248.0,Clay loam
19.0,33.0,48.0,5.41,17.63,2.3,8.3,134.3,Clay loam
39.0,14.0,47.0,4.1,23.6,2.9,69.0,53.5,Loam
43.0,10.0,47.0,4.15,33.2,2.9,26.2,86.4,Loam
11.0,28.0,60.0,4.42,21.5,3.4,7.8,112.2,Clay loam
56.0,6.0,37.0,3.94,30.6,3.8,32.3,108.1,Loam
73.0,3.0,24.0,5.08,14.01,2.3,17.3,66.0,Loamy sand
27.0,29.0,44.0,4.76,5.31,1.7,0.0,65.4,Clay loam
19.0,19.0,62.0,4.16,30.3,2.8,15.1,49.2,Silt loam
19.0,18.0,63.0,3.65,26.0,6.1,91.3,92.5,Silt loam
38.0,13.0,49.0,4.58,28.7,4.4,7.2,66.2,Loam
16.0,26.0,58.0,5.3,10.24,2.5,0.0,192.1,Silt loam
40.0,11.0,49.0,5.43,30.0,2.5,4.7,21.3,Loam
29.0,17.0,54.0,4.74,41.8,3.8,10.6,55.1,Silt loam
29.0,13.0,57.0,3.96,23.4,6.0,19.9,72.5,Silt loam
39.0,13.0,48.0,4.39,20.7,2.7,9.1,29.9,Loam
25.0,18.0,57.0,4.96,26.0,3.2,7.6,135.7,Silt loam
40.0,16.0,45.0,4.84,17.97,2.1,0.0,28.9,Loam
11.0,25.0,64.0,7.09,70.8,5.7,24.7,122.6,Silt loam
33.0,12.0,54.0,3.87,60.7,7.7,17.6,83.7,Silt loam
15.0,24.0,61.0,4.38,14.49,2.2,0.0,39.4,Silt loam
15.0,26.0,59.0,4.09,22.9,2.6,0.0,149.6,Silt loam
9.0,29.0,62.0,4.97,5.85,1.4,0.0,87.2,Clay loam
12.0,36.0,51.0,6.48,10.99,1.4,0.0,60.7,Clay loam
29.0,12.0,59.0,4.68,11.39,2.8,10.8,58.3,Silt loam
64.0,5.0,31.0,4.01,19.72,3.7,41.4,46.8,Loam
37.0,13.0,50.0,5.86,19.92,2.0,6.5,78.2,Silt loam
32.0,17.0,51.0,5.08,32.3,5.6,21.9,81.6,Silt loam
29.0,12.0,59.0,3.88,40.9,8.2,25.8,117.0,Silt loam
19.0,24.0,57.0,4.83,26.6,3.1,0.0,49.3,Silt loam
43.0,8.0,49.0,3.66,46.7,13.6,108.4,191.8,Loam
14.0,32.0,53.0,5.09,14.03,2.8,0.0,69.3,Clay loam
20.0,26.0,54.0,4.65,26.6,2.3,6.4,53.4,Silt loam
27.0,25.0,48.0,4.57,17.51,1.7,4.7,62.8,Loam
19.0,20.0,61.0,4.43,41.0,4.7,14.6,97.1,Silt loam
28.0,13.0,59.0,3.6,26.3,4.9,38.2,94.1,Silt loam
8.0,34.0,58.0,5.24,43.1,2.8,15.5,192.9,Clay loam
4.0,38.0,58.0,4.72,8.66,3.2,5.6,76.6,Clay loam
23.0,23.0,54.0,3.95,17.97,3.6,12.2,185.0,Silt loam
50.0,10.0,40.0,4.81,23.3,1.9,13.0,55.1,Loam
34.0,13.0,53.0,4.22,27.8,2.7,6.7,57.2,Silt loam
16.0,22.0,63.0,4.83,38.8,4.7,8.3,370.6,Silt loam
39.0,12.0,49.0,4.85,77.5,5.6,48.0,562.9,Loam
12.0,23.0,66.0,4.66,19.34,3.0,8.1,81.4,Silt loam
15.0,22.0,62.0,4.58,72.4,5.1,11.4,114.1,Silt loam
30.0,13.0,57.0,3.85,28.8,3.2,13.1,56.4,Silt loam
35.0,12.0,53.0,4.08,40.0,10.7,38.1,218.4,Silt loam
27.0,16.0,57.0,3.66,32.1,4.2,16.0,58.1,Silt loam
37.0,15.0,49.0,4.06,19.6,2.0,15.0,31.1,Loam
41.0,12.0,47.0,4.37,31.8,4.5,32.4,78.1,Loam
17.0,31.0,52.0,5.1,19.65,1.8,22.3,135.3,Clay loam
20.0,24.0,57.0,4.61,33.1,4.0,7.7,205.1,Silt loam
55.0,8.0,37.0,3.92,37.1,5.8,65.6,145.4,Loam
23.0,20.0,58.0,4.31,48.7,2.9,16.0,260.6,Silt loam
37.0,13.0,50.0,4.06,37.0,4.9,25.3,90.1,Silt loam
11.0,28.0,61.0,5.03,46.4,3.2,4.2,85.3,Clay loam
51.0,10.0,38.0,4.35,28.3,3.7,17.1,108.7,Loam
44.0,11.0,45.0,4.41,18.73,5.9,22.0,66.0,Loam
23.0,15.0,62.0,4.73,4.08,3.6,9.4,39.7,Silt loam
75.0,4.0,21.0,6.32,7.46,2.0,27.6,175.9,Loamy sand
46.0,13.0,41.0,4.35,12.93,3.9,22.3,64.9,Loam
64.0,5.0,32.0,4.28,4.51,4.7,13.0,38.5,Loam
76.0,3.0,21.0,4.45,3.35,3.5,15.0,35.9,Loamy sand
48.0,8.0,44.0,3.86,17.18,6.1,7.6,37.2,Loam
71.0,4.0,25.0,4.89,5.52,2.3,10.3,104.5,Loamy sand
56.0,9.0,35.0,4.87,12.71,3.5,6.7,83.9,Loam
75.0,3.0,22.0,4.68,2.16,2.4,0.0,11.6,Loamy sand
32.0,22.0,46.0,5.79,18.09,1.6,4.0,110.3,Loam
64.0,4.0,32.0,4.34,5.13,4.7,39.1,53.7,Loam
40.0,11.0,49.0,4.79,23.0,4.6,10.0,246.7,Loam
74.0,3.0,22.0,4.53,3.71,3.0,9.4,123.2,Loamy sand
48.0,8.0,44.0,4.3,14.47,3.3,21.9,75.2,Loam
70.0,4.0,26.0,4.52,4.29,3.6,17.1,36.8,Loamy sand
67.0,4.0,29.0,4.51,3.41,2.6,14.7,19.7,Loam
70.0,7.0,23.0,4.64,3.68,1.1,4.0,5.2,Loamy sand
53.0,9.0,37.0,4.52,4.21,3.5,7.8,178.6,Loam
62.0,7.0,31.0,4.81,4.6,3.5,110.4,46.8,Loam
68.0,4.0,28.0,5.43,8.84,5.2,11.6,270.5,Loam
66.0,7.0,27.0,4.72,5.38,1.0,92.5,67.4,Loam
74.0,6.0,20.0,3.82,15.14,0.8,48.6,19.6,Loamy sand
27.0,18.0,56.0,4.16,9.56,3.1,14.8,78.1,Silt loam
31.0,17.0,51.0,5.06,21.2,1.4,22.0,73.6,Silt loam
52.0,18.0,30.0,5.33,17.98,1.4,21.8,92.8,Loam
64.0,7.0,29.0,4.89,16.08,0.8,65.6,94.1,Loam
58.0,9.0,33.0,4.5,5.47,0.8,9.2,23.0,Loam
58.0,6.0,36.0,6.26,25.6,2.7,24.9,95.8,Loam
69.0,9.0,22.0,5.1,12.86,1.1,66.2,90.0,Loam
44.0,11.0,45.0,4.14,31.8,2.6,52.2,101.4,Loam
69.0,9.0,22.0,7.14,14.79,1.0,10.1,39.5,Loam
45.0,12.0,43.0,4.01,7.12,1.1,10.1,23.9,Loam
16.0,24.0,61.0,4.08,24.1,3.8,9.7,80.8,Silt loam
11.0,25.0,64.0,4.6,32.6,2.7,15.1,86.5,Silt loam
57.0,15.0,28.0,6.33,24.2,1.0,61.0,195.4,Loam
87.0,3.0,10.0,4.97,5.78,1.1,52.6,50.9,Sand
60.0,11.0,29.0,5.78,17.71,1.3,85.9,244.3,Loam
17.0,20.0,64.0,4.64,24.5,2.5,23.3,69.7,Silt loam
83.0,3.0,13.0,4.32,4.11,1.1,56.1,15.7,Loamy sand
58.0,6.0,35.0,3.72,18.19,4.4,52.4,61.1,Loam
16.0,29.0,55.0,5.56,58.6,3.6,51.4,811.4,Clay loam
75.0,4.0,21.0,4.81,8.26,1.0,64.4,132.4,Loamy sand
87.0,3.0,11.0,4.16,4.13,0.6,8.9,4.5,Sand
55.0,18.0,27.0,4.84,5.11,1.3,32.6,87.5,Loam
66.0,8.0,26.0,4.27,8.51,1.6,31.7,27.4,Loam
62.0,10.0,28.0,5.4,9.56,1.4,58.9,99.7,Loam
43.0,16.0,40.0,5.08,28.6,2.1,50.6,218.5,Loam
78.0,3.0,19.0,4.98,3.95,1.2,64.5,11.5,Loamy sand
80.0,5.0,15.0,5.78,15.44,1.0,57.9,191.4,Loamy sand
85.0,3.0,12.0,4.3,2.94,1.0,36.9,5.6,Sand
80.0,5.0,15.0,6.57,10.29,0.8,74.3,242.2,Loamy sand
62.0,8.0,29.0,4.55,11.7,1.3,43.9,40.8,Loam
6.0,34.0,60.0,4.45,7.89,2.3,6.5,89.7,Clay loam
86.0,4.0,11.0,5.22,4.27,0.8,12.0,56.9,Sand
80.0,5.0,15.0,5.29,10.81,1.2,95.1,72.8,Loamy sand
46.0,12.0,42.0,4.69,21.1,1.2,35.9,57.7,Loam
62.0,11.0,27.0,4.61,29.2,1.5,25.4,101.6,Loam
68.0,8.0,24.0,4.44,11.51,0.8,20.2,16.4,Loam
93.0,2.0,5.0,5.21,5.26,0.5,49.1,7.0,Sand
72.0,9.0,19.0,4.29,22.0,0.9,48.6,135.1,Loamy sand
55.0,10.0,35.0,4.76,4.44,1.6,15.5,52.1,Loam
19.0,26.0,55.0,4.55,14.98,3.0,75.4,94.2,Silt loam
33.0,28.0,40.0,6.97,19.64,1.9,16.3,214.8,Clay loam
62.0,9.0,29.0,4.45,9.71,1.4,13.8,43.5,Loam
74.0,4.0,21.0,4.43,5.01,1.5,7.5,25.1,Loamy sand
19.0,19.0,62.0,4.39,18.47,1.2,57.9,126.3,Silt loam
52.0,7.0,41.0,5.21,70.4,12.8,112.0,472.1,Loam
79.0,5.0,17.0,4.63,3.21,0.8,65.7,24.4,Loamy sand
31.0,18.0,50.0,7.06,33.5,1.7,59.2,379.8,Silt loam
71.0,8.0,21.0,6.03,7.19,1.2,105.6,164.4,Loamy sand
17.0,38.0,45.0,6.68,23.5,2.6,30.5,187.9,Clay loam
68.0,6.0,26.0,3.73,8.74,1.7,8.7,22.7,Loam
53.0,5.0,42.0,3.66,252.0,23.2,161.5,352.2,Loam
68.0,4.0,28.0,4.93,38.5,2.9,84.0,63.9,Loam
67.0,5.0,28.0,5.51,21.7,2.7,108.0,112.9,Loam
57.0,6.0,37.0,5.15,38.6,2.7,98.0,164.0,Loam
69.0,5.0,26.0,4.69,42.9,2.6,126.8,75.5,Loam
34.0,19.0,47.0,6.88,23.4,1.4,81.3,174.2,Loam
16.0,34.0,50.0,7.5,57.1,1.8,61.4,234.2,Clay loam
19.0,18.0,62.0,7.63,374.0,3.3,62.1,495.8,Silt loam
15.0,29.0,56.0,7.16,23.0,2.5,56.5,198.0,Clay loam
12.0,28.0,60.0,6.2,68.6,7.2,108.4,267.5,Clay loam
63.0,6.0,31.0,5.83,87.1,7.2,48.2,360.3,Loam
24.0,24.0,52.0,7.23,34.9,2.1,77.6,238.8,Silt loam
65.0,5.0,29.0,5.91,30.2,2.0,50.2,102.7,Loam
11.0,26.0,63.0,4.98,51.7,6.3,48.4,157.2,Silt loam
60.0,11.0,29.0,7.3,30.2,1.3,66.1,153.9,Loam
26.0,16.0,58.0,5.16,25.8,12.2,86.8,260.8,Silt loam
64.0,7.0,29.0,5.67,14.72,2.8,90.4,38.5,Loam
84.0,1.0,15.0,4.57,14.46,1.4,15.0,23.8,Loamy sand
85.0,2.0,14.0,5.1,23.5,2.6,76.7,34.4,Loamy sand
66.0,5.0,29.0,4.9,51.7,3.1,97.3,125.4,Loam
15.0,28.0,57.0,6.16,31.7,5.1,100.0,585.0,Clay loam
9.0,38.0,53.0,5.28,45.0,4.6,42.8,288.1,Clay loam
